,Cand_Name,Cand_Id,Cand_Party_Affiliation,Cand_Office_St,Total_Receipt,Candidate,District,Office Type,Won Primary,Election Race,Num_Candidates,Receipts_Sum,Receipts_Prop
147,"DOLGOS, STEPHEN",H2AZ08151,REP,AZ,0.0,Stephen Dolgos,U.S. House Arizona District 8,Representative,0.0,"('U.S. House Arizona District 8', 'Representative')",13,7602017.289999999,0.0
148,"DONALDSON, SCOTT",H8NC11160,DEM,NC,63006.0,Scott Donaldson,U.S. House North Carolina District 11,Representative,0.0,"('U.S. House North Carolina District 11', 'Representative')",3,314427.19,0.20038343376092888
149,"DONKERVOET, ALEX",H8TX03164,REP,TX,0.0,Alex Donkervoet,U.S. House Texas District 3,Representative,0.0,"('U.S. House Texas District 3', 'Representative')",4,61895.74,0.0
151,"DOTY, SALLY",H8MS03133,REP,MS,122192.2,Sally Doty,U.S. House Mississippi District 3,Representative,0.0,"('U.S. House Mississippi District 3', 'Representative')",2,246202.2,0.49630831893459926
154,"DOWNING, TROY",S8MT00218,REP,MT,1495357.0,Troy Downing,U.S. Senate Montana,Senator,0.0,"('U.S. Senate Montana', 'Senator')",2,7489379.92,0.19966365920451262
156,"DRISKELL, GRETCHEN",H6MI07223,DEM,MI,2719885.42,Gretchen Driskell,U.S. House Michigan District 7,Representative,1.0,"('U.S. House Michigan District 7', 'Representative')",2,2771793.38,0.9812727888108312
157,"DUGDALE, SEAN",H8IN05147,DEM,IN,434.0,Sean Dugdale,U.S. House Indiana District 5,Representative,0.0,"('U.S. House Indiana District 5', 'Representative')",3,6678.35,0.06498611183900214
158,"DUNKLEY, JONATHAN",H8AR02167,DEM,AR,34466.05,Jonathan Dunkley,U.S. House Arkansas District 2,Representative,0.0,"('U.S. House Arkansas District 2', 'Representative')",1,34466.05,1.0
159,"DUNN, MORGAN",H8MS03158,REP,MS,124010.0,Morgan Dunn,U.S. House Mississippi District 3,Representative,0.0,"('U.S. House Mississippi District 3', 'Representative')",2,246202.2,0.5036916810654007
160,"DUTERTE, EDWIN",H8CA43135,REP,CA,18509.76,Edwin Duterte,U.S. House California District 43,Representative,0.0,"('U.S. House California District 43', 'Representative')",2,1191633.31,0.015533100530732896
161,"EASTMAN, KARA",H8NE02220,DEM,NE,2632721.91,Kara Eastman,U.S. House Nebraska District 2,Representative,1.0,"('U.S. House Nebraska District 2', 'Representative')",2,3272738.0300000003,0.804440161683213
163,"EDWARDS, EDDIE",H8NH01152,REP,NH,1268155.42,Eddie Edwards,U.S. House New Hampshire District 1,Representative,1.0,"('U.S. House New Hampshire District 1', 'Representative')",5,2480153.7399999998,0.5113212941388061
164,"EDWARDS, GREG",H8PA15187,DEM,PA,451974.56,Greg Edwards,U.S. House Pennsylvania District 7,Representative,0.0,"('U.S. House Pennsylvania District 7', 'Representative')",5,4261507.57,0.10605978109291496
165,"EICHHOLZ, RICH",H8MI06148,DEM,MI,196556.31,Rich Eichholz,U.S. House Michigan District 6,Representative,0.0,"('U.S. House Michigan District 6', 'Representative')",3,2493972.48,0.078812541668463
166,"ELLIS, ROLAND",H8IN04249,DEM,IN,0.0,Roland Ellis,U.S. House Indiana District 4,Representative,0.0,"('U.S. House Indiana District 4', 'Representative')",5,166520.63,0.0
167,"EMERT, JASON",H8TN02200,REP,TN,487156.68,Jason Emert,U.S. House Tennessee District 2,Representative,0.0,"('U.S. House Tennessee District 2', 'Representative')",4,1943755.4899999998,0.2506265229892676
168,"EMIG, ZACH",H8NY11071,DEM,NY,49985.9,Zach Emig,U.S. House New York District 11,Representative,0.0,"('U.S. House New York District 11', 'Representative')",4,4847789.35,0.010311070962685291
169,"ENGLISH, GEORGE",H6MD08333,DEM,MD,0.0,George English,U.S. House Maryland District 6,Representative,0.0,"('U.S. House Maryland District 6', 'Representative')",5,2840832.48,0.0
170,"EPLEY, JAMES",H8SC04409,REP,SC,107564.9,James Epley,U.S. House South Carolina District 4,Representative,0.0,"('U.S. House South Carolina District 4', 'Representative')",6,616503.09,0.17447584893694532
171,"ESCOBAR, VERONICA",H8TX16109,DEM,TX,1445479.43,Veronica Escobar,U.S. House Texas District 16,Representative,1.0,"('U.S. House Texas District 16', 'Representative')",4,2549109.5199999996,0.567052697680875
173,"EVERHARD, JANET",H6OH02292,DEM,OH,57777.75,Janet Everhard,U.S. House Ohio District 2,Representative,0.0,"('U.S. House Ohio District 2', 'Representative')",2,663937.13,0.08702292339035174
174,"EZE, NNABU",S8MD00351,REP,MD,0.0,Nnabu Eze,U.S. Senate Maryland,Senator,0.0,"('U.S. Senate Maryland', 'Senator')",6,41556.17,0.0
175,"FAGAN, LINSEY",H8TX26124,DEM,TX,176157.24,Linsey Fagan,U.S. House Texas District 26,Representative,1.0,"('U.S. House Texas District 26', 'Representative')",1,176157.24,1.0
176,"FARAGGI, ESHEL",H8IN05212,DEM,IN,0.0,Eshel Faraggi,U.S. House Indiana District 5,Representative,0.0,"('U.S. House Indiana District 5', 'Representative')",3,6678.35,0.0
177,"FAREED, JUSTIN",H4CA24142,REP,CA,1459656.01,Justin Fareed,U.S. House California District 24,Representative,1.0,"('U.S. House California District 24', 'Representative')",1,1459656.01,1.0
178,"FENENBOCK, DORI",H8TX16083,DEM,TX,1053359.08,Dori Fenenbock,U.S. House Texas District 16,Representative,0.0,"('U.S. House Texas District 16', 'Representative')",4,2549109.5199999996,0.41322629401972505
179,"FENTY, SHION",H8VA04034,REP,VA,15809.81,Shion Fenty,U.S. House Virginia District 4,Representative,0.0,"('U.S. House Virginia District 4', 'Representative')",1,15809.81,1.0
181,"FINKENAUER, ABBY",H8IA01094,DEM,IA,4601774.98,Abby Finkenauer,U.S. House Iowa District 1,Representative,1.0,"('U.S. House Iowa District 1', 'Representative')",3,5014217.350000001,0.9177454144463841
183,"FLORES, SOL",H8IL04159,DEM,IL,341189.07,Sol Flores,U.S. House Illinois District 4,Representative,0.0,"('U.S. House Illinois District 4', 'Representative')",4,1269534.4800000002,0.2687513221381746
184,"FLYNN, BRIAN",H8NY19173,DEM,NY,1757503.37,Brian Flynn,U.S. House New York District 19,Representative,0.0,"('U.S. House New York District 19', 'Representative')",3,11213408.77,0.1567323020188089
185,"FLYNN, SEAN",H6CA31134,REP,CA,1363972.31,Sean Flynn,U.S. House California District 31,Representative,1.0,"('U.S. House California District 31', 'Representative')",1,1363972.31,1.0
186,"FOGARTY, PATRICK",H8NV02111,DEM,NV,169040.0,Patrick Fogarty,U.S. House Nevada District 2,Representative,0.0,"('U.S. House Nevada District 2', 'Representative')",2,206176.46,0.8198802132891408
187,"FORDE, BRIAN",H8CA45189,DEM,CA,1701475.61,Brian Forde,U.S. House California District 45,Representative,0.0,"('U.S. House California District 45', 'Representative')",2,2356528.2600000002,0.7220263974258471
188,"FOSTER, STEVEN",H8GA14025,DEM,GA,12736.0,Steven Foster,U.S. House Georgia District 14,Representative,1.0,"('U.S. House Georgia District 14', 'Representative')",1,12736.0,1.0
189,"FOSTER, VANESSA EDWARDS",H8TX27098,DEM,TX,0.0,Vanessa Edwards Foster,U.S. House Texas District 27,Representative,0.0,"('U.S. House Texas District 27', 'Representative')",8,1671717.96,0.0
190,"FRANKLIN, GEORGE",H8MI06163,DEM,MI,843741.2,George Franklin,U.S. House Michigan District 6,Representative,0.0,"('U.S. House Michigan District 6', 'Representative')",3,2493972.48,0.3383121533081231
192,"FRIDAY, STEVEN",H8MI07112,DEM,MI,51907.96,Steven Friday,U.S. House Michigan District 7,Representative,0.0,"('U.S. House Michigan District 7', 'Representative')",2,2771793.38,0.0187272111891688
193,"FRIEDENBERG, MARC",H8PA05204,DEM,PA,156485.31,Marc Friedenberg,U.S. House Pennsylvania District 12,Representative,1.0,"('U.S. House Pennsylvania District 12', 'Representative')",1,156485.31,1.0
194,"FULCHER, RUSS",H8ID01124,REP,ID,917403.58,Russ Fulcher,U.S. House Idaho District 1,Representative,1.0,"('U.S. House Idaho District 1', 'Representative')",4,1111129.81,0.8256493271474734
195,"FULLER, VIRGINIA",H8FL05157,REP,FL,40564.0,Virginia Fuller,U.S. House Florida District 5,Representative,1.0,"('U.S. House Florida District 5', 'Representative')",2,40564.0,1.0
196,"FULLER, VIRGINIA",S8FL00257,REP,FL,0.0,Virginia Fuller,U.S. House Florida District 5,Representative,1.0,"('U.S. House Florida District 5', 'Representative')",2,40564.0,0.0
197,"GAGLIARDI, DEBORAH",H8TX06274,REP,TX,0.0,Deborah Gagliardi,U.S. House Texas District 6,Representative,0.0,"('U.S. House Texas District 6', 'Representative')",7,61596.0,0.0
198,"GAITHER, KEVIN",H8IL15072,DEM,IL,53605.89,Kevin Gaither,U.S. House Illinois District 15,Representative,1.0,"('U.S. House Illinois District 15', 'Representative')",2,79801.63,0.6717392865283578
199,"GALBRAITH, JOHN MICHAEL",H8OH05150,DEM,OH,212609.78,John Michael Galbraith,U.S. House Ohio District 5,Representative,1.0,"('U.S. House Ohio District 5', 'Representative')",1,212609.78,1.0
200,"GARCIA, DOMINIQUE",H6TX29056,DEM,TX,0.0,Dominique Garcia,U.S. House Texas District 29,Representative,0.0,"('U.S. House Texas District 29', 'Representative')",4,64005.75,0.0
201,"GARCIA, JESUS",H8IL04134,DEM,IL,873126.05,Jesus Garcia,U.S. House Illinois District 4,Representative,1.0,"('U.S. House Illinois District 4', 'Representative')",4,1269534.4800000002,0.687752923418039
202,"GARCIA, ROEL",H8TX29078,DEM,TX,58407.4,Roel Garcia,U.S. House Texas District 29,Representative,0.0,"('U.S. House Texas District 29', 'Representative')",4,64005.75,0.9125336395558212
203,"GARCIA-URESTE, ALIA",H8TX16125,REP,TX,165.0,Alia Garcia-Ureste,U.S. House Texas District 16,Representative,0.0,"('U.S. House Texas District 16', 'Representative')",4,2549109.5199999996,6.472848604794353e-05
204,"GASPAR, KRISTIN",H8CA49090,REP,CA,393401.99,Kristin Gaspar,U.S. House California District 49,Representative,0.0,"('U.S. House California District 49', 'Representative')",9,19966128.429999996,0.01970346887125578
205,"GASPER, THERESA",H8OH10119,DEM,OH,1209688.24,Theresa Gasper,U.S. House Ohio District 10,Representative,1.0,"('U.S. House Ohio District 10', 'Representative')",1,1209688.24,1.0
206,"GASQUE, DOROTHY",H8WA03172,DEM,WA,88996.73,Dorothy Gasque,U.S. House Washington District 3,Representative,0.0,"('U.S. House Washington District 3', 'Representative')",2,88996.73,1.0
207,"GASSMAN, EDDIE",H8TX27106,REP,TX,0.0,Eddie Gassman,U.S. House Texas District 27,Representative,0.0,"('U.S. House Texas District 27', 'Representative')",8,1671717.96,0.0
208,"GAYOT, LUTCHI",H8NY09174,REP,NY,3875.0,Lutchi Gayot,U.S. House New York District 9,Representative,1.0,"('U.S. House New York District 9', 'Representative')",1,3875.0,1.0
209,"GEARHEART, MARTY",H8WV03113,REP,WV,119028.56,Marty Gearheart,U.S. House West Virginia District 3,Representative,0.0,"('U.S. House West Virginia District 3', 'Representative')",4,201678.56,0.5901894579175893
210,"GEPPERT, KATY",H8MO03198,DEM,MO,34138.21,Katy Geppert,U.S. House Missouri District 3,Representative,1.0,"('U.S. House Missouri District 3', 'Representative')",1,34138.21,1.0
211,"GERSHON, PERRY",H8NY01155,DEM,NY,5075781.84,Perry Gershon,U.S. House New York District 1,Representative,1.0,"('U.S. House New York District 1', 'Representative')",2,5379239.74,0.9435872140548991
212,"GHEE, ANTONY",H8NJ11233,REP,NJ,110605.19,Antony Ghee,U.S. House New Jersey District 11,Representative,0.0,"('U.S. House New Jersey District 11', 'Representative')",6,2942044.29,0.03759467196872145
213,"GIBBS, DAVID",H8NV04083,REP,NV,30330.0,David Gibbs,U.S. House Nevada District 4,Representative,0.0,"('U.S. House Nevada District 4', 'Representative')",6,1314661.66,0.02307057467546441
214,"GIBSON, MARK",H4TX22163,DEM,TX,19877.79,Mark Gibson,U.S. House Texas District 22,Representative,0.0,"('U.S. House Texas District 22', 'Representative')",5,1807126.53,0.010999666968532636
216,"GODA, BRETT",H8CA53076,REP,CA,0.0,Brett Goda,U.S. House California District 53,Representative,0.0,"('U.S. House California District 53', 'Representative')",2,94570.86,0.0
217,"GOLDEN, IAN",H8NY23167,DEM,NY,120649.3,Ian Golden,U.S. House New York District 23,Representative,0.0,"('U.S. House New York District 23', 'Representative')",3,2180511.32,0.055330737746410785
218,"GOLDEN, JARED",H8ME02185,DEM,ME,5776194.81,Jared Golden,U.S. House Maine District 2,Representative,1.0,"('U.S. House Maine District 2', 'Representative')",3,6606157.779999999,0.8743652516879487
219,"GONZALEZ, JULIO",H8FL17046,REP,FL,601425.64,Julio Gonzalez,U.S. House Florida District 17,Representative,0.0,"('U.S. House Florida District 17', 'Representative')",1,601425.64,1.0
220,"GONZALEZ, RICHARD",H8IL04126,DEM,IL,47110.0,Richard Gonzalez,U.S. House Illinois District 4,Representative,0.0,"('U.S. House Illinois District 4', 'Representative')",4,1269534.4800000002,0.037108090203268836
221,"GOODEN, LANCE",H8TX05144,REP,TX,1038984.33,Lance Gooden,U.S. House Texas District 5,Representative,1.0,"('U.S. House Texas District 5', 'Representative')",4,2286881.9,0.4543235617020713
222,"GRANT, ANDREW",H8CA07056,REP,CA,566014.2,Andrew Grant,U.S. House California District 7,Representative,1.0,"('U.S. House California District 7', 'Representative')",2,887961.72,0.6374308568166654
223,"GREEN, RICK",H8MA03114,REP,MA,986102.49,Rick Green,U.S. House Massachusetts District 3,Representative,1.0,"('U.S. House Massachusetts District 3', 'Representative')",1,986102.49,1.0
224,"GREIMEL, TIM",H8MI11338,DEM,MI,1018677.7,Tim Greimel,U.S. House Michigan District 11,Representative,0.0,"('U.S. House Michigan District 11', 'Representative')",7,8157890.890000001,0.12487022855977421
225,"GRIESEY, DARIN PATRICK",H0IN06084,DEM,IN,0.0,Darin Patrick Griesey,U.S. House Indiana District 4,Representative,0.0,"('U.S. House Indiana District 4', 'Representative')",5,166520.63,0.0
226,"GRIFFIN, CLAYBURN",H8NM02230,REP,NM,11684.73,Clayburn Griffin,U.S. House New Mexico District 2,Representative,0.0,"('U.S. House New Mexico District 2', 'Representative')",4,5891239.15,0.0019834078540165866
227,"GRIFFIN, STEVEN KNIGHT",H8GA06401,DEM,GA,12303.07,Steven Knight Griffin,U.S. House Georgia District 6,Representative,0.0,"('U.S. House Georgia District 6', 'Representative')",3,1604455.5799999998,0.007668065201281547
228,"GRIFFITH, GEORGE",H8OR01221,REP,OR,917.0,George Griffith,U.S. House Oregon District 1,Representative,0.0,"('U.S. House Oregon District 1', 'Representative')",2,917.0,1.0
229,"GRIGORIAN, CHRISTINA",S8MD00336,REP,MD,41556.17,Christina Grigorian,U.S. Senate Maryland,Senator,0.0,"('U.S. Senate Maryland', 'Senator')",6,41556.17,1.0
230,"GROSSMAN, SETH",H8NJ02232,REP,NJ,314048.06,Seth Grossman,U.S. House New Jersey District 2,Representative,1.0,"('U.S. House New Jersey District 2', 'Representative')",5,2492102.02,0.12601733696279416
231,"GRUNWALD, JOHN",H2TX34063,REP,TX,0.0,John Grunwald,U.S. House Texas District 27,Representative,0.0,"('U.S. House Texas District 27', 'Representative')",8,1671717.96,0.0
232,"GUPTA, SUNEEL",H8MI11346,DEM,MI,1482709.21,Suneel Gupta,U.S. House Michigan District 11,Representative,0.0,"('U.S. House Michigan District 11', 'Representative')",7,8157890.890000001,0.18175153725303134
233,"HAALAND, DEBRA",H8NM01331,DEM,NM,2207240.87,Debra Haaland,U.S. House New Mexico District 1,Representative,1.0,"('U.S. House New Mexico District 1', 'Representative')",5,4358793.38,0.5063880476940616
234,"HADER, SHANNON",H8WA08239,DEM,WA,886443.94,Shannon Hader,U.S. House Washington District 8,Representative,0.0,"('U.S. House Washington District 8', 'Representative')",5,6777897.6899999995,0.1307844969846395
235,"HAGAN, CHRISTINA",H8OH16108,REP,OH,465139.94,Christina Hagan,U.S. House Ohio District 16,Representative,0.0,"('U.S. House Ohio District 16', 'Representative')",4,938238.0800000001,0.49575896557087085
236,"HAGAN, MALLORY",H8AL03054,DEM,AL,467514.71,Mallory Hagan,U.S. House Alabama District 3,Representative,1.0,"('U.S. House Alabama District 3', 'Representative')",1,467514.71,1.0
237,"HAGEN, FOSTER",H8TX21299,REP,TX,13685.01,Foster Hagen,U.S. House Texas District 21,Representative,0.0,"('U.S. House Texas District 21', 'Representative')",11,5902529.11,0.002318499366113249
238,"HALL, MEL",H8IN02169,DEM,IN,4123139.0,Mel Hall,U.S. House Indiana District 2,Representative,1.0,"('U.S. House Indiana District 2', 'Representative')",1,4123139.0,1.0
239,"HAMADANCHY, KIA",H8CA45155,DEM,CA,655052.65,Kia Hamadanchy,U.S. House California District 45,Representative,0.0,"('U.S. House California District 45', 'Representative')",2,2356528.2600000002,0.2779736025741529
240,"HAMBLIN, HANK",H8TN02242,REP,TN,10945.94,Hank Hamblin,U.S. House Tennessee District 2,Representative,0.0,"('U.S. House Tennessee District 2', 'Representative')",4,1943755.4899999998,0.005631335863133692
241,"HAMMOND, SCOTT",H8NV03119,REP,NV,290689.03,Scott Hammond,U.S. House Nevada District 3,Representative,0.0,"('U.S. House Nevada District 3', 'Representative')",10,5667748.680000001,0.05128827095417364
242,"HANSEN, WEST",H8TX25167,DEM,TX,0.0,West Hansen,U.S. House Texas District 25,Representative,0.0,"('U.S. House Texas District 25', 'Representative')",3,156507.77000000002,0.0
244,"HARDER, JOSH",H8CA10126,DEM,CA,8441529.09,Josh Harder,U.S. House California District 10,Representative,1.0,"('U.S. House California District 10', 'Representative')",3,9637249.959999999,0.8759271706178721
245,"HARDY, CRESENT",H8NV04059,REP,NV,903033.08,Cresent Hardy,U.S. House Nevada District 4,Representative,1.0,"('U.S. House Nevada District 4', 'Representative')",6,1314661.66,0.6868939039417944
246,"HARKEY, DIANE",H8CA49082,REP,CA,1645908.41,Diane Harkey,U.S. House California District 49,Representative,1.0,"('U.S. House California District 49', 'Representative')",9,19966128.429999996,0.08243503069563297
248,"HARRIS, MATT",H8TX10144,DEM,TX,5115.0,Matt Harris,U.S. House Texas District 10,Representative,0.0,"('U.S. House Texas District 10', 'Representative')",2,31334.21,0.1632401136010769
249,"HARRIS, TAMARA",H8NJ11175,DEM,NJ,1011027.85,Tamara Harris,U.S. House New Jersey District 11,Representative,0.0,"('U.S. House New Jersey District 11', 'Representative')",6,2942044.29,0.3436480726807821
250,"HARRIS, TIM",H8OK01165,REP,OK,487812.1,Tim Harris,U.S. House Oklahoma District 1,Representative,0.0,"('U.S. House Oklahoma District 1', 'Representative')",7,1488296.22,0.32776546324897604
251,"HARRISON, KEVIN",H8TX06308,REP,TX,0.0,Kevin Harrison,U.S. House Texas District 6,Representative,0.0,"('U.S. House Texas District 6', 'Representative')",7,61596.0,0.0
252,"HASH, MARTIN",H8WA03214,DEM,WA,0.0,Martin Hash,U.S. House Washington District 3,Representative,0.0,"('U.S. House Washington District 3', 'Representative')",2,88996.73,0.0
253,"HASSELL, MEL",H8TX06316,REP,TX,0.0,Mel Hassell,U.S. House Texas District 6,Representative,0.0,"('U.S. House Texas District 6', 'Representative')",7,61596.0,0.0
255,"HECKROTH, THOMAS",H8IA01128,DEM,IA,340829.68,Thomas Heckroth,U.S. House Iowa District 1,Representative,0.0,"('U.S. House Iowa District 1', 'Representative')",3,5014217.350000001,0.06797265778676306
256,"HEENAN, JOHN",H8MT00101,DEM,MT,1104281.99,John Heenan,U.S. House Montana At-large District,Representative,0.0,"('U.S. House Montana At-large District', 'Representative')",5,6107762.06,0.18079977234738578
257,"HEFFERNAN, PETER",H8TN06177,DEM,TN,30899.63,Peter Heffernan,U.S. House Tennessee District 6,Representative,0.0,"('U.S. House Tennessee District 6', 'Representative')",4,398608.39999999997,0.07751876277569666
258,"HENG, ELIZABETH",H8CA16065,UNK,CA,1298558.89,Elizabeth Heng,U.S. House California District 16,Representative,1.0,"('U.S. House California District 16', 'Representative')",1,1298558.89,1.0
259,"HESLIN, ALISON",H8NJ11209,DEM,NJ,0.0,Alison Heslin,U.S. House New Jersey District 11,Representative,0.0,"('U.S. House New Jersey District 11', 'Representative')",6,2942044.29,0.0
260,"HEWITT, MARTIN",H8NJ11159,REP,NJ,18887.99,Martin Hewitt,U.S. House New Jersey District 11,Representative,0.0,"('U.S. House New Jersey District 11', 'Representative')",6,2942044.29,0.006420022317203118
261,"HIDALGO, JUAN",H8CA51062,REP,CA,73237.31,Juan Hidalgo,U.S. House California District 51,Representative,1.0,"('U.S. House California District 51', 'Representative')",1,73237.31,1.0
262,"HOEBER, AMIE",H6MD06212,REP,MD,906628.86,Amie Hoeber,U.S. House Maryland District 6,Representative,1.0,"('U.S. House Maryland District 6', 'Representative')",5,2840832.48,0.3191419650341368
263,"HOLGUIN, ERIC",H8TX27056,DEM,TX,202465.79,Eric Holguin,U.S. House Texas District 27,Representative,1.0,"('U.S. House Texas District 27', 'Representative')",8,1671717.96,0.1211124094162391
266,"HORNBERGER, BENJAMIN",H0PA09039,REP,PA,475.9,Benjamin Hornberger,U.S. House Pennsylvania District 13,Representative,0.0,"('U.S. House Pennsylvania District 13', 'Representative')",4,1895910.83,0.0002510139150373438
267,"HOSTA, JOHN",H4IL14124,DEM,IL,0.0,John Hosta,U.S. House Illinois District 14,Representative,0.0,"('U.S. House Illinois District 14', 'Representative')",6,279346.48,0.0
268,"HOULAHAN, CHRISSY",H8PA06087,DEM,PA,4354449.5,Chrissy Houlahan,U.S. House Pennsylvania District 6,Representative,1.0,"('U.S. House Pennsylvania District 6', 'Representative')",1,4354449.5,1.0
269,"HOUSLEY, KARIN",S8MN00586,REP,MN,4697809.09,Karin Housley,U.S. Senate Minnesota,Senator,1.0,"('U.S. Senate Minnesota', 'Senator')",4,4707609.09,0.9979182638548265
270,"HOWLAND, AMANDA",H6IL06166,DEM,IL,198264.19,Amanda Howland,U.S. House Illinois District 6,Representative,0.0,"('U.S. House Illinois District 6', 'Representative')",6,8244590.320000001,0.024047791619074648
271,"HOYOS, RENEE",H8TN02176,DEM,TN,351595.19,Renee Hoyos,U.S. House Tennessee District 2,Representative,1.0,"('U.S. House Tennessee District 2', 'Representative')",4,1943755.4899999998,0.1808844743121472
272,"HUFF, BOB",H8CA39224,REP,CA,694241.17,Bob Huff,U.S. House California District 39,Representative,0.0,"('U.S. House California District 39', 'Representative')",7,8809080.65,0.07880971892339299
273,"HUFFMAN, RYAN",H8IL06162,DEM,IL,8688.83,Ryan Huffman,U.S. House Illinois District 6,Representative,0.0,"('U.S. House Illinois District 6', 'Representative')",6,8244590.320000001,0.0010538825657500951
274,"HUFFMAN, SCOTT",H8NC08109,DEM,NC,14898.22,Scott Huffman,U.S. House North Carolina District 8,Representative,0.0,"('U.S. House North Carolina District 8', 'Representative')",2,67476.3,0.22079189285719578
275,"HUGHES-HAGEMAN, JACK",H8WA08288,REP,WA,0.0,Jack Hughes-Hageman,U.S. House Washington District 8,Representative,0.0,"('U.S. House Washington District 8', 'Representative')",5,6777897.6899999995,0.0
277,"HULINGS, JAY",H8TX23147,DEM,TX,617990.01,Jay Hulings,U.S. House Texas District 23,Representative,0.0,"('U.S. House Texas District 23', 'Representative')",3,6815741.25,0.09067099048104268
278,"HUTCHISON, SUSAN",S8WA00319,REP,WA,1933255.94,Susan Hutchison,U.S. Senate Washington,Senator,1.0,"('U.S. Senate Washington', 'Senator')",2,1933255.94,1.0
279,"HYMAN, MAL",H6SC07018,DEM,SC,53061.78,Mal Hyman,U.S. House South Carolina District 7,Representative,0.0,"('U.S. House South Carolina District 7', 'Representative')",2,79276.07,0.6693290926253028
280,"ISAAC, JASON",H8TX21216,REP,TX,253514.56,Jason Isaac,U.S. House Texas District 21,Representative,0.0,"('U.S. House Texas District 21', 'Representative')",11,5902529.11,0.042950158360167745
281,"JACKSON, SHANELLE",H8MI13292,DEM,MI,0.0,Shanelle Jackson,U.S. House Michigan District 13,Representative,0.0,"('U.S. House Michigan District 13', 'Representative')",7,4298396.4399999995,0.0
282,"JACOB, PETER",H6NJ07151,DEM,NJ,141436.23,Peter Jacob,U.S. House New Jersey District 7,Representative,0.0,"('U.S. House New Jersey District 7', 'Representative')",2,6448364.33,0.02193365988053594
283,"JACOBS, SARA",H8CA49074,DEM,CA,2905005.64,Sara Jacobs,U.S. House California District 49,Representative,0.0,"('U.S. House California District 49', 'Representative')",9,19966128.429999996,0.14549669206951008
284,"JACOBSEN, LEANN",H8IA04114,DEM,IA,276410.33,Leann Jacobsen,U.S. House Iowa District 4,Representative,0.0,"('U.S. House Iowa District 4', 'Representative')",1,276410.33,1.0
285,"JAMES, JOHN",S8MI00372,REP,MI,12551466.52,John James,U.S. Senate Michigan,Senator,1.0,"('U.S. Senate Michigan', 'Senator')",2,17786713.42,0.705665303286817
286,"JANZ, ANDREW",H8CA22139,DEM,CA,9233869.01,Andrew Janz,U.S. House California District 22,Representative,1.0,"('U.S. House California District 22', 'Representative')",2,9628047.68,0.9590593354851354
287,"JARVIS, ROB",H8OH15159,DEM,OH,0.0,Rob Jarvis,U.S. House Ohio District 15,Representative,0.0,"('U.S. House Ohio District 15', 'Representative')",2,1328023.44,0.0
288,"JODUN, WADE",H8PA05212,DEM,PA,0.0,Wade Jodun,U.S. House Pennsylvania District 15,Representative,0.0,"('U.S. House Pennsylvania District 15', 'Representative')",2,144712.13,0.0
289,"JOHNSON, DUSTY",H8SD01055,REP,SD,1668537.77,Dusty Johnson,U.S. House South Dakota At-large District,Representative,1.0,"('U.S. House South Dakota At-large District', 'Representative')",3,2535713.92,0.6580149901137112
290,"JOHNSON, FRANCYS",H8GA12078,DEM,GA,282355.12,Francys Johnson,U.S. House Georgia District 12,Representative,1.0,"('U.S. House Georgia District 12', 'Representative')",1,282355.12,1.0
291,"JOHNSON, MARGARITA RUIZ",H8TX22271,DEM,TX,18523.0,Margarita Ruiz Johnson,U.S. House Texas District 22,Representative,0.0,"('U.S. House Texas District 22', 'Representative')",5,1807126.53,0.010249974029212
292,"JOHNSON, SAM",H4MI13218,OTH,MI,0.0,Sam Johnson,U.S. House Texas District 3,Representative,0.0,"('U.S. House Texas District 3', 'Representative')",4,61895.74,0.0
293,"JOHNSON-GREEN, TABITHA",H8GA10197,DEM,GA,24773.15,Tabitha Johnson-Green,U.S. House Georgia District 10,Representative,1.0,"('U.S. House Georgia District 10', 'Representative')",2,143873.79,0.17218667833800722
294,"JONES, BRENDA",H8MI13243,DEM,MI,270417.42,Brenda Jones,U.S. House Michigan District 13,Representative,1.0,"('U.S. House Michigan District 13', 'Representative')",7,4298396.4399999995,0.06291123300855889
295,"JONES, BRENDA",H8MI13243,DEM,MI,270417.42,Brenda Jones,U.S. House Michigan District 13,Representative,0.0,"('U.S. House Michigan District 13', 'Representative')",7,4298396.4399999995,0.06291123300855889
296,"JONES, GINA ORTIZ",H8TX23121,DEM,TX,6195216.24,Gina Ortiz Jones,U.S. House Texas District 23,Representative,1.0,"('U.S. House Texas District 23', 'Representative')",3,6815741.25,0.9089570763854922
297,"JONES, JEFF",H6MI12264,REP,MI,82410.0,Jeff Jones,U.S. House Michigan District 12,Representative,1.0,"('U.S. House Michigan District 12', 'Representative')",1,82410.0,1.0
298,"JONES, JIMMY DARNELL",H8TX02091,DEM,TX,19035.37,Jimmy Darnell Jones,U.S. House Texas District 2,Representative,0.0,"('U.S. House Texas District 2', 'Representative')",7,3785546.39,0.005028433953493302
299,"JONES, KEVIN",H8KS02181,REP,KS,135030.91,Kevin Jones,U.S. House Kansas District 2,Representative,0.0,"('U.S. House Kansas District 2', 'Representative')",4,2172365.42,0.062158469637212325
300,"JONES, STEPHANIE",H8NV03234,REP,NV,3849.0,Stephanie Jones,U.S. House Nevada District 3,Representative,0.0,"('U.S. House Nevada District 3', 'Representative')",10,5667748.680000001,0.000679105623293092
