,Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Primary %,Won Primary,Rep Party Support?,Trump Endorsed?,Bannon Endorsed?,Great America Endorsed?,NRA Endorsed?,Right to Life Endorsed?,Susan B. Anthony Endorsed?,Club for Growth Endorsed?,Koch Support?,House Freedom Support?,Tea Party Endorsed?,Main Street Endorsed?,Chamber Endorsed?,No Labels Support?
192,Eddie Hayes,GA,Governor of Georgia,Governor,Regular,5/22/18,Lost,,,0.0,No,,No,,,No,No,,,,,,,,
193,David Callahan,GA,U.S. House Georgia District 13,Representative,Regular,5/22/18,Advanced,,On the Ballot,93.0,Yes,,No,,,,Yes,,,,,,,,
194,Femi Akinkugbe,GA,U.S. House Georgia District 13,Representative,Regular,5/22/18,Lost,,,7.0,No,,No,,,,No,,,,,,,,
195,Herman West Jr.,GA,U.S. House Georgia District 2,Representative,Regular,5/22/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
196,Joe Profit,GA,U.S. House Georgia District 4,Representative,Regular,5/22/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
197,Andria Tupola,HI,Governor of Hawaii,Governor,Regular,8/11/18,Advanced,,On the Ballot,55.5,Yes,,No,,,,,,,,,,,,
198,John Carroll,HI,Governor of Hawaii,Governor,Regular,8/11/18,Lost,,,35.2,No,,No,,,,,,,,,,,,
199,Ray L'Heureux,HI,Governor of Hawaii,Governor,Regular,8/11/18,Lost,,,9.3,No,,No,,,,,,,,,,,,
200,Cam Cavasso,HI,U.S. House Hawaii District 1,Representative,Regular,8/11/18,Advanced,,On the Ballot,81.8,Yes,,No,,,,,,,,,,,,
201,Raymond Vinole,HI,U.S. House Hawaii District 1,Representative,Regular,8/11/18,Lost,,,18.2,No,,No,,,,,,,,,,,,
202,Brian Evans,HI,U.S. House Hawaii District 2,Representative,Regular,8/11/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
203,Ron Curtis,HI,U.S. Senate Hawaii,Senator,Regular,8/11/18,Advanced,,On the Ballot,23.7,Yes,,No,,,,,,,,,,,,
204,Michael Hodgkiss,HI,U.S. Senate Hawaii,Senator,Regular,8/11/18,Lost,,,5.9,No,,No,,,,,,,,,,,,
205,Consuelo Anderson,HI,U.S. Senate Hawaii,Senator,Regular,8/11/18,Lost,,,19.3,No,,No,,,,,,,,,,,,
206,George Berish,HI,U.S. Senate Hawaii,Senator,Regular,8/11/18,Lost,,,6.2,No,,No,,,,,,,,,,,,
207,Roque De La Fuente,HI,U.S. Senate Hawaii,Senator,Regular,8/11/18,Lost,,,11.4,No,,No,,,,,,,,,,,,
208,Robert Helsham,HI,U.S. Senate Hawaii,Senator,Regular,8/11/18,Lost,,,14.9,No,,No,,,,,,,,,,,,
209,Eddie Pirkowski,HI,U.S. Senate Hawaii,Senator,Regular,8/11/18,Lost,,,5.1,No,,No,,,,,,,,,,,,
210,Thomas White,HI,U.S. Senate Hawaii,Senator,Regular,8/11/18,Lost,,,13.6,No,,No,,,,,,,,,,,,
211,Chris Peters,IA,U.S. House Iowa District 2,Representative,Regular,6/5/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
212,Brad Little,ID,Governor of Idaho,Governor,Regular,5/15/18,Advanced,,On the Ballot,37.29,Yes,,No,,,,,,,,,,,,
213,Harley Brown,ID,Governor of Idaho,Governor,Regular,5/15/18,Lost,,,0.45,No,,No,,,,,,,,,,,,
214,Lisa Marie,ID,Governor of Idaho,Governor,Regular,5/15/18,Lost,,,1.75,No,,No,,,,,,,,,,,,
215,Raul Labrador,ID,Governor of Idaho,Governor,Regular,5/15/18,Lost,,,32.63,No,,No,,,,,,,,,,,,
216,Steven Pankey,ID,Governor of Idaho,Governor,Regular,5/15/18,Lost,,,1.39,No,,No,,,,,,,,,,,,
217,Tommy Ahlquist,ID,Governor of Idaho,Governor,Regular,5/15/18,Lost,,,26.22,No,,No,,,,,,,,,,,,
218,Dalton Cannady,ID,Governor of Idaho,Governor,Regular,5/15/18,Lost,,,0.27,No,,No,,,,,,,,,,,,
219,Russ Fulcher,ID,U.S. House Idaho District 1,Representative,Regular,5/15/18,Advanced,,On the Ballot,43.12,Yes,,No,,,,,,Yes,,Yes,,No,,
220,Christy Perry,ID,U.S. House Idaho District 1,Representative,Regular,5/15/18,Lost,,,11.19,No,,No,,,,,,No,,No,,No,,
221,Luke Malek,ID,U.S. House Idaho District 1,Representative,Regular,5/15/18,Lost,,,14.26,No,,No,,,,,,No,,No,,Yes,,
222,David Leroy,ID,U.S. House Idaho District 1,Representative,Regular,5/15/18,Lost,,,15.53,No,,No,,,,,,No,,No,,No,,
223,Michael Snyder,ID,U.S. House Idaho District 1,Representative,Regular,5/15/18,Lost,,,10.37,No,,No,,,,,,No,,No,,No,,
224,Nick Henderson,ID,U.S. House Idaho District 1,Representative,Regular,5/15/18,Lost,,,2.02,No,,No,,,,,,No,,No,,No,,
225,Alex Gallegos,ID,U.S. House Idaho District 1,Representative,Regular,5/15/18,Lost,,,3.5,No,,No,,,,,,No,,No,,No,,
226,Jimmy Lee Tillman II,IL,U.S. House Illinois District 1,Representative,Regular,3/20/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
227,Doug Bennett,IL,U.S. House Illinois District 10,Representative,Regular,3/20/18,Advanced,,On the Ballot,36.24,Yes,Yes,No,,,,,,,,,,,,
228,Sapan Shah,IL,U.S. House Illinois District 10,Representative,Regular,3/20/18,Lost,,,29.06,No,Yes,No,,,,,,,,,,,,
229,Jeremy Wynes,IL,U.S. House Illinois District 10,Representative,Regular,3/20/18,Lost,,,34.7,No,Yes,No,,,,,,,,,,,,
230,Nick Stella,IL,U.S. House Illinois District 11,Representative,Regular,3/20/18,Advanced,,On the Ballot,79.33,Yes,,No,,,,,,,,,,,,
231,Connor Vlakancic,IL,U.S. House Illinois District 11,Representative,Regular,3/20/18,Lost,,,20.67,No,,No,,,,,,,,,,,,
232,Bill Fawell,IL,U.S. House Illinois District 17,Representative,Regular,3/20/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
233,David Merkle,IL,U.S. House Illinois District 2,Representative,Regular,3/20/18,Advanced,,On the Ballot,36.59,Yes,,No,,,,,,,,,,,,
234,John Morrow,IL,U.S. House Illinois District 2,Representative,Regular,3/20/18,Lost,,,27.94,No,,No,,,,,,,,,,,,
235,Patrick Harmon,IL,U.S. House Illinois District 2,Representative,Regular,3/20/18,Lost,,,35.46,No,,No,,,,,,,,,,,,
236,Arthur Jones,IL,U.S. House Illinois District 3,Representative,Regular,3/20/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
237,Mark Wayne Lorch,IL,U.S. House Illinois District 4,Representative,Regular,3/20/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
238,Tom Hanson,IL,U.S. House Illinois District 5,Representative,Regular,3/20/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
239,Craig Cameron,IL,U.S. House Illinois District 7,Representative,Regular,3/20/18,Advanced,,On the Ballot,56.33,Yes,,No,,,,,,,,,,,,
240,Jeffrey Leef,IL,U.S. House Illinois District 7,Representative,Regular,3/20/18,Lost,,,43.67,No,,No,,,,,,,,,,,,
241,Jitendra Diganvker,IL,U.S. House Illinois District 8,Representative,Regular,3/20/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
242,John Elleson,IL,U.S. House Illinois District 9,Representative,Regular,3/20/18,Advanced,,On the Ballot,40.37,Yes,,No,,,,,,,,,,,,
243,Max Rice,IL,U.S. House Illinois District 9,Representative,Regular,3/20/18,Lost,,,10.15,No,,No,,,,,,,,,,,,
244,D. Vincent Thomas Jr.,IL,U.S. House Illinois District 9,Representative,Regular,3/20/18,Lost,,,18.83,No,,No,,,,,,,,,,,,
245,Sargis Sangari,IL,U.S. House Illinois District 9,Representative,Regular,3/20/18,Lost,,,10.15,No,,No,,,,,,,,,,,,
246,Mark Leyva,IN,U.S. House Indiana District 1,Representative,Regular,5/8/18,Advanced,,On the Ballot,26.99,Yes,,No,,,,,,,,,,,,
247,John Meyer,IN,U.S. House Indiana District 1,Representative,Regular,5/8/18,Lost,,,19.6,No,,No,,,,,,,,,,,,
248,Jeremy Belko,IN,U.S. House Indiana District 1,Representative,Regular,5/8/18,Lost,,,6.73,No,,No,,,,,,,,,,,,
249,David Dopp,IN,U.S. House Indiana District 1,Representative,Regular,5/8/18,Lost,,,7.61,No,,No,,,,,,,,,,,,
250,Roseann Ivanovich,IN,U.S. House Indiana District 1,Representative,Regular,5/8/18,Lost,,,19.55,No,,No,,,,,,,,,,,,
251,Nicholas Pappas,IN,U.S. House Indiana District 1,Representative,Regular,5/8/18,Lost,,,19.52,No,,No,,,,,,,,,,,,
252,Jim Baird,IN,U.S. House Indiana District 4,Representative,Regular,5/8/18,Advanced,,On the Ballot,36.59,Yes,,No,,,,Yes,,,,,,,,No
253,James Nease,IN,U.S. House Indiana District 4,Representative,Regular,5/8/18,Lost,,,2.62,No,,No,,,,No,,,,,,,,
254,Kevin Grant,IN,U.S. House Indiana District 4,Representative,Regular,5/8/18,Lost,,,4.58,No,,No,,,,No,,,,,,,,
255,Steve Braun,IN,U.S. House Indiana District 4,Representative,Regular,5/8/18,Lost,,,29.45,No,,No,,,,Yes,,,,,,,,
256,Diego Morales,IN,U.S. House Indiana District 4,Representative,Regular,5/8/18,Lost,,,14.97,No,,No,,,,Yes,,,,,,,,No
257,Jared Thomas,IN,U.S. House Indiana District 4,Representative,Regular,5/8/18,Lost,,,10.53,No,,No,,,,No,,,,,,,,
258,Tim Radice,IN,U.S. House Indiana District 4,Representative,Regular,5/8/18,Lost,,,1.26,No,,No,,,,No,,,,,,,,
259,Greg Pence,IN,U.S. House Indiana District 6,Representative,Regular,5/8/18,Advanced,,On the Ballot,64.48,Yes,,No,,Yes,,Yes,,,,,,,,
260,Jeff Smith,IN,U.S. House Indiana District 6,Representative,Regular,5/8/18,Lost,,,3.04,No,,No,,No,,Yes,,,,,,,,
261,Mike Campbell,IN,U.S. House Indiana District 6,Representative,Regular,5/8/18,Lost,,,4.34,No,,No,,No,,No,,,,,,,,
262,Stephen MacKenzie,IN,U.S. House Indiana District 6,Representative,Regular,5/8/18,Lost,,,4.57,No,,No,,No,,No,,,,,,,,
263,Jonathan Lamb,IN,U.S. House Indiana District 6,Representative,Regular,5/8/18,Lost,,,23.56,No,,No,,No,,No,,,,,,,,
264,Wayne Harmon,IN,U.S. House Indiana District 7,Representative,Regular,5/8/18,Advanced,,On the Ballot,28.81,Yes,,No,,,,No,,,,,,,,
265,J.D. Miniear,IN,U.S. House Indiana District 7,Representative,Regular,5/8/18,Lost,,,13.59,No,,No,,,,Yes,,,,,,,,
266,John Couch,IN,U.S. House Indiana District 7,Representative,Regular,5/8/18,Lost,,,15.24,No,,No,,,,No,,,,,,,,
267,Tony Van Pelt,IN,U.S. House Indiana District 7,Representative,Regular,5/8/18,Lost,,,11.3,No,,No,,,,No,,,,,,,,
268,J. Jason Davis,IN,U.S. House Indiana District 7,Representative,Regular,5/8/18,Lost,,,11.9,No,,No,,,,No,,,,,,,,
269,Donald Eason Jr.,IN,U.S. House Indiana District 7,Representative,Regular,5/8/18,Lost,,,19.16,No,,No,,,,No,,,,,,,,
270,Mike Braun,IN,U.S. Senate Indiana,Senator,Regular,5/8/18,Advanced,,On the Ballot,41.17,Yes,,No,,,,Yes,,,,,,,,
271,Luke Messer,IN,U.S. Senate Indiana,Senator,Regular,5/8/18,Lost,,,28.84,No,,No,,,,Yes,,,,,,,,
272,Todd Rokita,IN,U.S. Senate Indiana,Senator,Regular,5/8/18,Lost,,,29.99,No,,No,,,,Yes,,,,,,,,
273,Caryn Tyson,KS,U.S. House Kansas District 2,Representative,Regular,8/7/18,Lost,,,23.2,No,Yes,No,,,,Yes,Yes,,,,,,,
274,Kevin Jones,KS,U.S. House Kansas District 2,Representative,Regular,8/7/18,Lost,,,15.9,No,No,No,,,,No,No,,,,,,,
275,Steve Fitzgerald,KS,U.S. House Kansas District 2,Representative,Regular,8/7/18,Lost,,,12.1,No,Yes,No,,,,No,No,,,,,,,
276,Vernon Fields,KS,U.S. House Kansas District 2,Representative,Regular,8/7/18,Lost,,,2.6,No,No,No,,,,No,No,,,,,,,
277,Steve Watkins,KS,U.S. House Kansas District 2,Representative,Regular,8/7/18,Advanced,,On the Ballot,26.2,Yes,Yes,No,,,,No,No,,,,,,,
278,Doug Mays,KS,U.S. House Kansas District 2,Representative,Regular,8/7/18,Lost,,,8.1,No,No,No,,,,No,No,,,,,,,
279,Dennis Pyle,KS,U.S. House Kansas District 2,Representative,Regular,8/7/18,Lost,,,11.9,No,No,No,,,,No,No,,,,,,,
280,Vickie Yates Glisson,KY,U.S. House Kentucky District 3,Representative,Regular,5/22/18,Advanced,,On the Ballot,49.06,Yes,Yes,No,,,,Yes,,,,,,,,
281,Mike Craven,KY,U.S. House Kentucky District 3,Representative,Regular,5/22/18,Lost,,,26.9,No,No,No,,,,No,,,,,,,,
282,Rhonda Palazzo,KY,U.S. House Kentucky District 3,Representative,Regular,5/22/18,Lost,,,24.05,No,No,No,,,,No,,,,,,,,
283,Liz Matory,MD,U.S. House Maryland District 2,Representative,Regular,6/26/18,Advanced,,On the Ballot,42.01,Yes,,No,,,,Yes,,,,,,,,
284,Mark Shell,MD,U.S. House Maryland District 2,Representative,Regular,6/26/18,Lost,,,23.6,No,,No,,,,No,,,,,,,,
285,Hubert Owens Jr.,MD,U.S. House Maryland District 2,Representative,Regular,6/26/18,Lost,,,17.07,No,,No,,,,No,,,,,,,,
286,Mitchell Toland Jr.,MD,U.S. House Maryland District 2,Representative,Regular,6/26/18,Lost,,,17.32,No,,No,,,,No,,,,,,,,
287,Charles Anthony,MD,U.S. House Maryland District 3,Representative,Regular,6/26/18,Advanced,,On the Ballot,43.59,Yes,,No,,,,No,,,,,,,,
288,Thomas Harris,MD,U.S. House Maryland District 3,Representative,Regular,6/26/18,Lost,,,35.96,No,,No,,,,No,,,,,,,,
289,Rob Seyfferth,MD,U.S. House Maryland District 3,Representative,Regular,6/26/18,Lost,,,20.45,No,,No,,,,No,,,,,,,,
290,George McDermott,MD,U.S. House Maryland District 4,Representative,Regular,6/26/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
291,William Devine III,MD,U.S. House Maryland District 5,Representative,Regular,6/26/18,Advanced,,On the Ballot,57.56,Yes,,No,,,,,,,,,,,,
292,Johnny Rice,MD,U.S. House Maryland District 5,Representative,Regular,6/26/18,Lost,,,42.44,No,,No,,,,,,,,,,,,
293,Amie Hoeber,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Advanced,,On the Ballot,67.76,Yes,Yes,No,,,,No,,,,,,,,
294,Lisa Lloyd,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,,,17.81,No,No,No,,,,No,,,,,,,,
295,Brad Rohrs,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,,,5.68,No,No,No,,,,Yes,,,,,,,,
296,Kurt Elsasser,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,,,8.75,No,No,No,,,,No,,,,,,,,
297,Ray Bly,MD,U.S. House Maryland District 7,Representative,Regular,6/26/18,Lost,,,16.52,No,,No,,,,No,,,,,,,,
298,William Newton,MD,U.S. House Maryland District 7,Representative,Regular,6/26/18,Lost,,,22.33,No,,No,,,,Yes,,,,,,,,
299,Richmond Davis,MD,U.S. House Maryland District 7,Representative,Regular,6/26/18,On the Ballot,,,31.29,No,,No,,,,No,,,,,,,,
300,Michael Pearson,MD,U.S. House Maryland District 7,Representative,Regular,6/26/18,On the Ballot,,,29.86,No,,No,,,,No,,,,,,,,
301,John Walsh,MD,U.S. House Maryland District 8,Representative,Regular,6/26/18,Advanced,,On the Ballot,44.87,Yes,,No,,,,,,,,,,,,
302,Bridgette Cooper,MD,U.S. House Maryland District 8,Representative,Regular,6/26/18,Lost,,,31.28,No,,No,,,,,,,,,,,,
303,Victor Williams,MD,U.S. House Maryland District 8,Representative,Regular,6/26/18,Lost,,,23.85,No,,No,,,,,,,,,,,,
304,Tony Campbell,MD,U.S. Senate Maryland,Senator,Regular,6/26/18,Advanced,,On the Ballot,29.22,Yes,,No,,,,Yes,,,,,,,,
305,Blaine Taylor,MD,U.S. Senate Maryland,Senator,Regular,6/26/18,Lost,,,5.03,No,,No,,,,No,,,,,,,,
306,Brian Vaeth,MD,U.S. Senate Maryland,Senator,Regular,6/26/18,Lost,,,3.07,No,,No,,,,No,,,,,,,,
307,Chris Chaffee,MD,U.S. Senate Maryland,Senator,Regular,6/26/18,Lost,,,24.05,No,,No,,,,No,,,,,,,,
308,John Graziani,MD,U.S. Senate Maryland,Senator,Regular,6/26/18,Lost,,,8.77,No,,No,,,,No,,,,,,,,
309,Nnabu Eze,MD,U.S. Senate Maryland,Senator,Regular,6/26/18,Lost,,,1.96,No,,No,,,,No,,,,,,,,
310,Evan Cronhardt,MD,U.S. Senate Maryland,Senator,Regular,6/26/18,Lost,,,2.53,No,,No,,,,No,,,,,,,,
311,Christina Grigorian,MD,U.S. Senate Maryland,Senator,Regular,6/26/18,Lost,,,17.48,No,,No,,,,No,,,,,,,,
312,Bill Krehnbrink,MD,U.S. Senate Maryland,Senator,Regular,6/26/18,Lost,,,2.05,No,,No,,,,No,,,,,,,,
313,Gerald Smith,MD,U.S. Senate Maryland,Senator,Regular,6/26/18,Lost,,,4.3,No,,No,,,,No,,,,,,,,
314,Albert Howard,MD,U.S. Senate Maryland,Senator,Regular,6/26/18,Lost,,,1.55,No,,No,,,,No,,,,,,,,
315,Shawn Moody,ME,Governor of Maine,Governor,Regular,6/12/18,Advanced,,On the Ballot,52.6,Yes,,No,,,,,,,,,,,,
316,Garrett Mason,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,,,21.23,No,,No,,,,,,,,,,,,
317,Mary Mayhew,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,,,13.82,No,,No,,,,,,,,,,,,
318,Kenneth Fredette,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,,,5.26,No,,No,,,,,,,,,,,,
319,Eric Brakey,ME,U.S. Senate Maine,Senator,Regular,6/12/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
320,Kevin Powers,MA,U.S. House Massachusetts District 2,Representative,Regular,9/4/18,Lost,,,39.2,No,,No,,,,,,,,,,,,
321,Tracy Lovvorn,MA,U.S. House Massachusetts District 2,Representative,Regular,9/4/18,Advanced,,On the Ballot,60.8,Yes,,No,,,,,,,,,,,,
322,Rick Green,MA,U.S. House Massachusetts District 3,Representative,Regular,9/4/18,Advanced,,On the Ballot,100.0,Yes,Yes,No,,,,,,,Yes,,,,,
323,John Hugo,MA,U.S. House Massachusetts District 5,Representative,Regular,9/4/18,Advanced,,On the Ballot,63.7,Yes,,No,,,,Yes,,,,,,,,
324,Louis Kuchnir,MA,U.S. House Massachusetts District 5,Representative,Regular,9/4/18,Lost,,,36.3,No,,No,,,,No,,,,,,,,
325,Joseph Schneider,MA,U.S. House Massachusetts District 6,Representative,Regular,9/4/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
326,Peter Tedeschi,MA,U.S. House Massachusetts District 9,Representative,Regular,9/4/18,Advanced,,On the Ballot,100.0,Yes,Yes,No,,,,,,,,,,,,
327,Geoff Diehl,MA,U.S. Senate Massachusetts,Senator,Regular,9/4/18,Advanced,,On the Ballot,55.3,Yes,,No,,,Yes,,,,,,,,,
328,John Kingston,MA,U.S. Senate Massachusetts,Senator,Regular,9/4/18,Lost,,,26.7,No,,No,,,No,,,,,,,,,
329,Beth Lindstrom,MA,U.S. Senate Massachusetts,Senator,Regular,9/4/18,Lost,,,17.9,No,,No,,,No,,,,,,,,,
330,Jim Hines,MI,Governor of Michigan,Governor,Regular,8/7/18,Lost,,,11.0,No,,No,,,,Yes,No,,,,,,No,
331,Brian Calley,MI,Governor of Michigan,Governor,Regular,8/7/18,Lost,,,25.2,No,,No,,,,Yes,No,,,,,,No,
332,Patrick Colbeck,MI,Governor of Michigan,Governor,Regular,8/7/18,Lost,,,13.1,No,,No,,,,Yes,No,,,,,,No,
333,"William Duncan ""Bill"" Schuette",MI,Governor of Michigan,Governor,Regular,8/7/18,Advanced,,On the Ballot,50.7,Yes,,Yes,,,,Yes,No,,,,,,Yes,
334,Kerry Bentivolio,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Lost,,,11.3,No,,No,,,,Yes,No,,No,,,,,
335,Klint Kesto,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Lost,,,14.0,No,Yes,No,,,,Yes,No,,No,,,,,
336,Mike Kowall,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Lost,,,18.6,No,Yes,No,,,,Yes,No,,No,,,,,
337,Rocky Raczkowski,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Lost,,,25.4,No,Yes,No,,,,Yes,No,,No,,,,,
338,Lena Epstein,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Advanced,,On the Ballot,30.7,Yes,Yes,No,,,,Yes,Yes,,Yes,,,,,
339,Jeff Jones,MI,U.S. House Michigan District 12,Representative,Regular,8/7/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,No,,,,,
340,Marc Herschfus,MI,U.S. House Michigan District 14,Representative,Regular,8/7/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,No,,,,,
341,Travis Wines,MI,U.S. House Michigan District 5,Representative,Regular,8/7/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,No,,,,,
342,Candius Stearns,MI,U.S. House Michigan District 9,Representative,Regular,8/7/18,Advanced,,On the Ballot,100.0,Yes,Yes,No,,,,Yes,Yes,,No,,,,,
343,John James,MI,U.S. Senate Michigan,Senator,Regular,8/7/18,Advanced,,On the Ballot,54.7,Yes,,Yes,,,,Yes,Yes,,,,,,Yes,
344,Sandy Pensler,MI,U.S. Senate Michigan,Senator,Regular,8/7/18,Lost,,,45.3,No,,No,,,,No,No,,,,,,No,
345,Jeff Johnson,MN,Governor of Minnesota,Governor,Regular,8/14/18,Advanced,,On the Ballot,52.6,Yes,,No,,,,,,,,,,,No,
346,Tim Pawlenty,MN,Governor of Minnesota,Governor,Regular,8/14/18,Lost,,,43.9,No,,No,,,,,,,,,,,Yes,
347,Matt Kruse,MN,Governor of Minnesota,Governor,Regular,8/14/18,Lost,,,3.5,No,,No,,,,,,,,,,,No,
348,Jim Hagedorn,MN,U.S. House Minnesota District 1,Representative,Regular,8/14/18,Advanced,,On the Ballot,60.2,Yes,Yes,No,,,,,No,,,,,,,
349,Carla Nelson,MN,U.S. House Minnesota District 1,Representative,Regular,8/14/18,Lost,,,32.1,No,Yes,No,,,,,Yes,,,,,,,
350,Andrew Candler,MN,U.S. House Minnesota District 1,Representative,Regular,8/14/18,Lost,,,2.6,No,No,No,,,,,No,,,,,,,
351,Steve Williams,MN,U.S. House Minnesota District 1,Representative,Regular,8/14/18,Lost,,,5.1,No,No,No,,,,,No,,,,,,,
352,Greg Ryan,MN,U.S. House Minnesota District 4,Representative,Regular,8/14/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
353,Jennifer Zielinski,MN,U.S. House Minnesota District 5,Representative,Regular,8/14/18,Advanced,,On the Ballot,56.5,Yes,,No,,,,,,,,,,,,
354,Christopher Chamberlin,MN,U.S. House Minnesota District 5,Representative,Regular,8/14/18,Lost,,,32.5,No,,No,,,,,,,,,,,,
355,Bob Carney Jr.,MN,U.S. House Minnesota District 5,Representative,Regular,8/14/18,Lost,,,11.0,No,,No,,,,,,,,,,,,
356,Dave Hughes,MN,U.S. House Minnesota District 7,Representative,Regular,8/14/18,Advanced,,On the Ballot,72.6,Yes,,No,,,,,,,,,,,,
357,Matt Prosch,MN,U.S. House Minnesota District 7,Representative,Regular,8/14/18,Lost,,,27.4,No,,No,,,,,,,,,,,,
358,Pete Stauber,MN,U.S. House Minnesota District 8,Representative,Regular,8/14/18,Advanced,,On the Ballot,89.7,Yes,Yes,Yes,,,,,,,Yes,,,,,
359,Harry Welty,MN,U.S. House Minnesota District 8,Representative,Regular,8/14/18,Lost,,,10.3,No,No,No,,,,,,,No,,,,,
360,Jim Newberger,MN,U.S. Senate Minnesota,Senator,Regular,8/14/18,Advanced,,On the Ballot,69.5,Yes,,No,,,,No,No,,,,,,,
361,Karin Housley,MN,U.S. Senate Minnesota,Senator,Special,8/14/18,Advanced,,On the Ballot,62.0,Yes,,No,,,,Yes,Yes,,,,,,,
362,Merrill Anderson,MN,U.S. Senate Minnesota,Senator,Regular,8/14/18,Lost,,,15.7,No,,No,,,,No,No,,,,,,,
363,Bob Anderson,MN,U.S. Senate Minnesota,Senator,Special,8/14/18,Lost,,,35.6,No,,No,,,,No,No,,,,,,,
364,Roque De La Fuente,MN,U.S. Senate Minnesota,Senator,Regular,8/14/18,Lost,,,5.9,No,,No,,,,No,No,,,,,,,
365,Rae Hart Anderson,MN,U.S. Senate Minnesota,Senator,Regular,8/14/18,Lost,,,5.9,No,,No,,,,No,No,,,,,,,
366,Nikolay Nikolayevich Bey,MN,U.S. Senate Minnesota,Senator,Special,8/14/18,Lost,,,2.5,No,,No,,,,No,No,,,,,,,
367,Camille Lombardi-Olive,MO,U.S. House Missouri District 1,Representative,Regular,8/7/18,Lost,,,32.6,No,,No,,,,,,,,,,,,
368,Edward Van Deventer Jr.,MO,U.S. House Missouri District 1,Representative,Regular,8/7/18,Lost,,,32.9,No,,No,,,,,,,,,,,,
369,Robert Vroman,MO,U.S. House Missouri District 1,Representative,Regular,8/7/18,Advanced,,On the Ballot,34.5,Yes,,No,,,,,,,,,,,,
370,Kress Cambers,MO,U.S. House Missouri District 5,Representative,Regular,8/7/18,Lost,,,17.6,No,,No,,,,No,,,,,,,,
371,Richonda Oaks,MO,U.S. House Missouri District 5,Representative,Regular,8/7/18,Lost,,,7.3,No,,No,,,,No,,,,,,,,
372,Jacob Turk,MO,U.S. House Missouri District 5,Representative,Regular,8/7/18,Advanced,,On the Ballot,75.1,Yes,,No,,,,Yes,,,,,,,,
373,Austin Petersen,MO,U.S. Senate Missouri,Senator,Regular,8/7/18,Lost,,,8.3,No,,No,No,No,,No,,No,No,,,,,
374,Josh Hawley,MO,U.S. Senate Missouri,Senator,Regular,8/7/18,Advanced,,On the Ballot,58.6,Yes,,Yes,Yes,Yes,,Yes,,Yes,Yes,,,,,
375,Tony Monetti,MO,U.S. Senate Missouri,Senator,Regular,8/7/18,Lost,,,9.8,No,,No,No,No,,No,,No,No,,,,,
376,Courtland Sykes,MO,U.S. Senate Missouri,Senator,Regular,8/7/18,Lost,,,2.1,No,,No,No,No,,No,,No,No,,,,,
377,Brian Hagg,MO,U.S. Senate Missouri,Senator,Regular,8/7/18,Lost,,,1.0,No,,No,No,No,,No,,No,No,,,,,
378,Ken Patterson,MO,U.S. Senate Missouri,Senator,Regular,8/7/18,Lost,,,2.9,No,,No,No,No,,No,,No,No,,,,,
379,Peter Pfeifer,MO,U.S. Senate Missouri,Senator,Regular,8/7/18,Lost,,,2.5,No,,No,No,No,,No,,No,No,,,,,
380,Christina Smith,MO,U.S. Senate Missouri,Senator,Regular,8/7/18,Lost,,,5.3,No,,No,No,No,,No,,No,No,,,,,
381,Bradley Krembs,MO,U.S. Senate Missouri,Senator,Regular,8/7/18,Lost,,,0.7,No,,No,No,No,,No,,No,No,,,,,
382,Kristi Nichols,MO,U.S. Senate Missouri,Senator,Regular,8/7/18,Lost,,,7.5,No,,No,No,No,,No,,No,No,,,,,
